,Holliday_Package,Salary,age,educ,no_young_children,no_older_children,foreign
791,yes,32112,46,9,0,1,yes
792,yes,38105,41,8,0,2,yes
793,yes,34814,25,5,2,1,yes
794,yes,36598,39,10,0,1,yes
795,yes,35386,51,3,0,0,yes
796,yes,30513,51,10,0,0,yes
797,yes,32828,49,16,0,0,yes
798,yes,30942,35,8,1,2,yes
799,no,37155,27,7,1,1,yes
800,no,24690,47,4,0,1,yes
801,no,37129,30,8,3,0,yes
802,no,33336,32,5,2,1,yes
803,yes,36023,34,8,0,3,yes
804,yes,26980,41,4,0,0,yes
805,yes,35076,26,6,1,2,yes
806,no,40270,33,8,2,0,yes
807,yes,13993,49,6,0,3,yes
808,no,33544,41,6,0,3,yes
809,yes,60047,37,9,0,2,yes
810,yes,34407,40,3,0,2,yes
811,yes,30215,50,6,0,1,yes
812,yes,32891,29,8,0,2,yes
813,no,16342,26,4,1,1,yes
814,yes,35646,31,8,0,1,yes
815,yes,24582,32,5,0,1,yes
816,yes,42465,44,5,0,1,yes
817,no,37324,23,8,1,0,yes
818,no,28271,24,8,1,0,yes
819,no,46300,27,8,1,1,yes
820,yes,34205,28,8,0,1,yes
821,no,33578,52,4,0,1,yes
822,no,38974,47,12,0,2,yes
823,no,44146,42,8,0,2,yes
824,yes,31715,42,5,0,1,yes
825,yes,30575,47,4,0,0,yes
826,yes,26317,36,5,0,1,yes
827,yes,27630,41,8,0,0,yes
828,no,33448,38,3,1,1,yes
829,no,95460,36,13,0,2,yes
830,yes,31662,25,8,1,0,yes
831,no,33274,47,5,0,1,yes
832,yes,33434,44,7,0,1,yes
833,no,35726,44,2,0,1,yes
834,yes,34608,47,8,0,0,yes
835,yes,26564,20,5,1,0,yes
836,no,37853,41,8,0,1,yes
837,no,46488,50,7,0,1,yes
838,yes,34293,36,4,1,1,yes
839,yes,29968,20,8,0,0,yes
840,no,36679,28,6,2,0,yes
841,yes,29809,44,7,0,0,yes
842,yes,36595,35,9,0,2,yes
843,yes,42741,46,15,0,1,yes
844,yes,42478,26,9,1,0,yes
845,yes,38344,31,8,0,2,yes
846,no,36345,49,5,0,1,yes
847,no,30253,55,5,0,0,yes
848,yes,45641,40,4,0,1,yes
849,no,22257,57,6,0,1,yes
850,yes,35416,51,5,0,2,yes
851,yes,85549,56,3,0,0,yes
852,yes,35730,33,2,1,3,yes
853,yes,46747,41,5,0,2,yes
854,no,38536,32,12,1,0,yes
855,no,27332,25,11,1,0,yes
856,yes,106302,47,13,0,0,yes
857,yes,49318,31,16,2,0,yes
858,no,56718,33,14,0,2,yes
859,yes,32206,28,5,0,2,yes
860,yes,47837,38,11,0,0,yes
861,yes,37380,34,9,1,1,yes
862,yes,35191,33,6,0,2,yes
863,no,66900,35,10,1,1,yes
864,no,35290,51,9,0,1,yes
865,no,25527,41,5,1,0,yes
866,yes,44057,35,9,0,2,yes
867,yes,22643,42,14,0,0,yes
868,no,40030,24,4,2,1,yes
869,yes,32137,48,8,0,0,yes
870,no,25178,24,6,2,0,yes
871,yes,55958,41,10,0,1,yes
872,no,74659,51,10,0,0,yes
