Observation,Dist_Taxi,Dist_Market,Dist_Metro,Store_Area,Items_Available,Parking,Coupon_Category,Daily_Customer_Count,Store_Sales
442,7807,9674,12678,1161,1404,Covered,CAT C,430,58380
443,8634,11628,12786,1175,1405,Open,CAT A,810,91200
444,11031,12462,13010,1395,1662,Open,CAT A,920,90940
445,6266,13767,12066,1443,1755,Not Provided,CAT C,880,49330
446,5359,8372,11239,1247,1523,Open,CAT C,1350,53500
447,9569,10441,12905,1788,2133,Open,CAT B,1000,54590
448,6465,10915,10058,1138,1375,Not Provided,CAT B,1220,57450
449,10068,10816,13429,1709,2042,Open,CAT C,430,33240
450,5499,10606,10603,1777,2145,Covered,CAT A,520,80790
451,8395,12601,13089,1612,1918,Covered,CAT B,580,61000
452,9204,10843,14663,1618,1943,Open,CAT B,460,47620
453,6885,7314,10673,1311,1571,No Parking,CAT B,470,72090
454,5728,10253,11216,1365,1638,Covered,CAT A,680,102920
455,6669,11500,11948,1249,1503,Open,CAT A,950,61970
456,4846,9003,10135,1373,1635,No Parking,CAT A,840,61040
457,8850,10060,11765,1536,1836,Not Provided,CAT B,990,52060
458,12862,12087,17686,1744,2101,No Parking,CAT A,520,69570
459,13925,14473,17746,1513,1820,Open,CAT B,520,66020
460,11082,12407,14913,1297,1561,Not Provided,CAT B,1070,40000
461,3971,7129,5913,1908,2304,Open,CAT A,990,79500
462,7136,8734,9830,1721,2076,No Parking,CAT A,710,76300
463,6736,13652,12823,1243,1491,Open,CAT A,430,69030
464,10701,15780,15366,1472,1766,Open,CAT B,1290,57140
465,9089,14320,13391,1307,1570,Not Provided,CAT B,1080,41710
466,7753,8307,13508,1628,1959,Not Provided,CAT C,890,71480
467,10162,10094,12564,1556,1869,Covered,CAT C,1000,33010
468,9393,11121,12596,1179,1428,Open,CAT A,1290,74570
469,10272,8355,13586,1768,2123,Not Provided,CAT B,860,49590
470,7265,12325,12060,1378,1656,Open,CAT A,1010,73170
471,7457,12005,13976,1685,2015,Open,CAT A,1160,79220
472,6475,8198,9766,1474,1759,Open,CAT A,880,75880
473,8032,7922,9846,1794,2137,No Parking,CAT B,670,67610
474,10709,10849,17155,1086,1291,Covered,CAT A,930,69090
475,4783,11103,9602,1808,2154,Open,CAT C,990,35220
476,5381,5177,8992,1501,1790,Not Provided,CAT B,450,53940
477,5258,9505,8580,1353,1598,No Parking,CAT B,690,56660
478,8799,10559,14496,1455,1757,No Parking,CAT A,650,67520
479,10063,10671,14466,1165,1411,Not Provided,CAT C,1020,38620
480,,,11839,1516,1792,Not Provided,CAT B,790,44310
481,11238,14329,15943,1332,1610,Open,CAT C,880,38890
482,6284,11514,11302,1396,1668,Covered,CAT A,760,79270
483,6855,11349,11719,1513,1821,Open,CAT C,690,42880
484,9914,11558,16360,1618,1940,Covered,CAT C,630,44240
485,7971,8165,12202,1845,2233,No Parking,CAT B,370,43190
486,,,14676,1529,1820,No Parking,CAT B,800,60930
487,5845,5999,10472,1172,1411,No Parking,CAT A,460,74550
488,6589,10742,11179,,1810,Not Provided,CAT C,920,20700
489,9881,12215,14248,1436,1737,Covered,CAT B,770,57090
490,7132,9530,11594,1738,2065,No Parking,CAT B,750,56480
491,6063,8269,10928,2229,2667,Covered,CAT A,660,87410
492,11487,12958,17196,1490,1783,Open,CAT A,730,81370
493,11888,15672,16427,1060,1279,Open,CAT A,670,97360
494,3553,6062,7649,2015,2436,Covered,CAT B,680,77960
495,9590,10173,13574,1611,1919,Covered,CAT A,960,71240
496,11139,14537,17452,1187,1417,Open,CAT C,1230,58940
497,12787,12142,15454,1430,1690,Open,CAT A,800,78950
498,8193,12666,14844,1543,1840,Covered,CAT C,450,36380
499,10452,10978,16079,1836,2195,Not Provided,CAT C,940,45160
500,9337,9865,11171,1463,1764,Covered,CAT B,1060,69050
501,7531,15408,14394,1213,1462,Covered,CAT B,560,56830
502,8558,13467,15079,1244,1480,Open,CAT A,860,93530
503,,,12830,1388,1664,Open,CAT A,700,67580
504,7905,10054,15182,1745,2108,Covered,CAT B,730,46920
505,5044,9458,12063,933,1121,Open,CAT A,940,55990
506,8346,11640,12725,1764,2132,Covered,CAT C,920,40840
507,5464,7752,11406,1675,2002,Open,CAT B,1050,64990
508,7678,14228,14778,1688,2046,Open,CAT B,380,53550
509,7205,9682,13179,1842,2204,No Parking,CAT C,930,51320
510,8344,8916,11192,1316,1597,Not Provided,CAT C,980,36560
511,6049,11589,10343,1440,1719,Covered,CAT B,580,66050
512,10814,14071,17512,1760,2111,No Parking,CAT C,680,52400
513,6390,10143,9685,1323,1571,Open,CAT C,850,27970
514,2992,5718,5446,1230,1466,Open,CAT C,730,67100
515,9363,13333,14529,1540,1838,Open,CAT C,570,43710
516,8865,8515,12294,1167,1388,No Parking,CAT B,620,38600
517,7127,8762,10749,1429,1695,Covered,CAT B,890,53890
518,10670,10435,16607,1491,1770,Not Provided,CAT C,800,52610
519,9172,14024,12540,1313,1574,Open,CAT B,920,43130
520,9800,9133,13657,1609,1943,Open,CAT B,920,40300
521,7998,12742,13303,1109,1342,Not Provided,CAT B,760,49750
522,4068,7624,6764,1207,1440,No Parking,CAT B,500,43840
523,10531,11054,15189,902,1087,Not Provided,CAT A,680,56820
524,8588,13937,8728,1191,1422,Open,CAT C,770,36350
525,9074,7556,12666,1335,1601,Open,CAT B,460,50820
526,7073,14107,14781,1382,1660,No Parking,CAT A,1070,83720
527,2756,5325,6808,1588,1906,Not Provided,CAT B,450,46970
528,6756,5976,9051,1918,2284,No Parking,CAT B,310,78020
529,7360,8950,13140,1484,1774,Not Provided,CAT B,880,45080
530,6934,14287,12528,1334,1607,No Parking,CAT C,370,55160
531,6569,13470,12541,1556,1846,No Parking,CAT A,760,72020
532,6979,10242,10270,1784,2142,Covered,CAT B,950,64010
533,5584,10514,11003,1244,1477,No Parking,CAT B,890,27840
534,6750,11495,13016,1496,1787,Open,CAT C,800,58070
535,10320,11719,14343,1719,2058,Covered,CAT B,700,51760
536,8590,11229,12737,1678,2022,Open,CAT B,1050,66050
537,5991,12588,12015,1247,1490,Open,CAT B,330,65750
538,7056,10860,12856,1191,1421,Covered,CAT B,980,65820
539,7765,7313,10302,1832,2208,Covered,CAT B,1090,46760
540,7894,11648,10009,1271,1523,Not Provided,CAT A,1140,50940
541,11999,12241,14575,1735,2084,Open,CAT A,820,56440
542,8063,11923,12361,1627,1948,No Parking,CAT C,890,32610
543,6493,14696,14315,1351,1616,Covered,CAT B,650,62770
544,7669,10444,12941,1520,1817,Open,CAT A,850,63600
545,4116,11266,11661,1490,1788,Covered,CAT C,360,45840
546,4886,11166,11986,,2148,Covered,CAT B,1070,32970
547,9089,9503,13179,1777,2117,Not Provided,CAT B,780,38280
548,7996,6753,9959,1688,2037,Covered,CAT B,590,50960
549,9916,12241,15485,1537,1836,No Parking,CAT C,670,39480
550,10340,14340,17721,1622,1968,Covered,CAT C,340,69610
551,6514,11008,11301,1148,1384,Open,CAT B,730,47800
552,9175,12656,17442,1373,,Open,CAT B,770,59200
553,8230,10705,11862,1001,1194,Covered,CAT C,1210,44890
554,16850,15553,22407,1857,2236,No Parking,CAT A,1280,67420
555,11014,10848,14405,1552,1869,Open,CAT A,710,78870
556,8917,9699,11425,1700,2064,Not Provided,CAT A,940,70310
557,9927,11760,12555,1554,1844,Not Provided,CAT C,670,38530
558,9059,11486,11984,1482,1777,Open,CAT A,800,77570
559,14005,9744,17121,1275,1517,Covered,CAT B,790,59920
560,6427,13284,13775,1642,1981,Open,CAT C,720,54450
561,6440,10689,13561,1381,1633,Not Provided,CAT C,1270,50250
562,3167,9659,8682,1381,1634,Open,CAT B,930,30790
563,5579,11928,11294,1057,1262,Open,CAT C,1490,35420
564,5876,13703,7564,1192,1445,Covered,CAT B,810,43470
565,11812,13363,17040,1601,1920,No Parking,CAT C,600,61000
566,10881,13649,15717,1622,1968,Not Provided,CAT A,210,64780
567,8790,10451,12621,,1653,Open,CAT B,1210,42970
568,2314,8933,8231,1607,1909,Open,CAT C,460,39030
569,9559,9796,13278,2214,2647,Open,CAT B,740,65900
570,4113,12277,10937,1633,1936,Open,CAT B,1320,46050
571,8836,10580,14360,1546,1845,No Parking,CAT B,760,59070
572,9281,8825,11191,1475,1753,Not Provided,CAT B,920,44670
573,10724,14028,16129,1270,1519,Not Provided,CAT A,920,58390
574,9109,10436,11963,1185,1420,Open,CAT A,880,80370
575,9684,11953,15162,1614,1938,Open,CAT B,1110,53230
576,8363,11994,12873,1141,1353,Open,CAT A,1370,72000
577,9021,11522,13615,1244,1481,Open,CAT A,410,84040
578,7175,5750,12044,869,1050,Not Provided,CAT B,850,52540
579,11897,12621,15693,2049,2465,Not Provided,CAT B,720,63510
580,5266,6740,8531,1883,2262,No Parking,CAT B,570,42240
581,9547,11233,13642,1526,1842,Open,CAT C,690,39580
582,5277,9221,9414,1165,1390,No Parking,CAT B,1220,54610
583,10453,11981,14868,1832,2185,Open,CAT A,840,87330
584,6736,14813,14125,1723,2072,Covered,CAT A,560,88410
585,1648,4950,6583,932,1138,Open,CAT B,820,89760
586,3784,10365,9878,1137,1374,Covered,CAT A,700,101780
587,11335,12652,15503,1231,1472,Open,CAT B,810,70290
588,11826,16146,16532,1237,1512,Covered,CAT A,1070,88210
589,10961,17111,15477,1371,1650,Covered,CAT A,540,87160
590,7570,8829,12505,1767,2158,Open,CAT B,530,41540
591,5738,8270,10242,1748,2092,Open,CAT B,580,49170
592,6237,10793,12774,1212,1440,Open,CAT B,500,63950
593,8081,9852,14028,1466,1743,Covered,CAT A,1200,70810
594,6344,9442,14746,1152,1386,Open,CAT B,980,49590
595,11139,11743,15206,1439,1703,Open,CAT B,1000,67290
596,5451,16007,13025,,1704,Open,CAT A,900,62280
597,7284,11172,13742,2026,2400,Not Provided,CAT C,720,51240
598,6270,11440,9163,1772,2146,Open,CAT B,1030,48540
599,2017,8473,9077,1511,1822,Open,CAT B,420,72410
600,5908,10764,11187,1199,1461,Not Provided,CAT B,1070,54370
601,8655,10639,14020,1834,2184,Covered,CAT A,830,94460
602,13070,16770,19497,1143,1375,No Parking,CAT A,940,85160
603,7348,6714,10920,1494,1794,Covered,CAT C,550,52130
604,12951,12503,15166,1770,2131,Not Provided,CAT B,1140,54650
605,5212,9235,9335,1455,1747,Open,CAT A,750,69320
606,6177,6009,9642,1141,1372,Not Provided,CAT B,620,51480
607,9374,13102,13706,1586,1886,Covered,CAT C,660,50060
608,6967,12104,11007,1701,2034,No Parking,CAT A,660,62180
609,10314,12431,12349,1860,2246,Open,CAT A,410,79780
610,3543,7722,8175,1167,1406,Open,CAT C,440,42860
611,3685,6787,8033,1424,1716,Open,CAT B,630,54410
612,12580,14692,17517,1710,2053,Open,CAT B,730,69390
613,8176,12223,14233,1408,1708,Not Provided,CAT B,220,42810
614,9015,9628,12697,1517,1831,No Parking,CAT C,610,30840
615,7002,8425,11450,1227,1476,Not Provided,CAT B,720,56260
616,8272,8092,12626,1609,1930,Open,CAT B,740,76470
617,9726,11935,15318,1553,1831,No Parking,CAT C,740,35680
618,5572,13280,11351,1814,2174,Open,CAT A,770,90070
619,10440,11464,15648,1240,1493,Open,CAT B,590,33120
620,5189,9059,10863,1206,1437,No Parking,CAT A,1330,54060
621,9935,15807,18595,1847,2186,Not Provided,CAT B,910,75120
622,7300,12541,13715,1009,1202,No Parking,CAT C,330,41600
623,4619,10768,11787,1624,1946,Covered,CAT C,870,20270
624,10773,12323,16823,1612,1931,Open,CAT B,790,60060
625,11124,8732,14790,1498,1805,Open,CAT A,1270,82270
626,10489,12274,13086,946,1125,No Parking,CAT B,590,29170
627,8270,14406,15231,1563,1872,No Parking,CAT A,1080,68420
628,5985,12402,11559,1664,2016,Open,CAT B,830,59130
629,4955,12586,14979,1619,1947,Covered,CAT A,910,74330
630,9188,13997,14768,1433,1722,Open,CAT A,830,77080
631,11801,11283,14728,1241,1489,Not Provided,CAT A,1380,76250
632,9006,13952,14368,1429,1720,Open,CAT A,1180,59540
633,9667,12214,14277,1241,1488,Not Provided,CAT A,770,54690
634,3605,11017,12447,1078,1306,Not Provided,CAT A,680,84360
635,8846,11995,12883,1690,2065,Not Provided,CAT B,910,51420
636,6976,13119,13556,1289,1536,No Parking,CAT A,540,65120
637,8050,11347,13218,1581,1894,No Parking,CAT C,760,49380
638,5760,8577,9947,1608,1945,Not Provided,CAT B,760,37830
639,11209,10016,14328,1344,1608,Open,CAT C,730,35980
640,7739,13750,14696,1513,1804,Not Provided,CAT A,430,69190
641,5761,7680,10875,1529,1839,Open,CAT B,1000,50590
642,3702,7220,12065,1677,2014,Open,CAT A,660,60800
643,7570,11481,13873,1015,1229,Not Provided,CAT C,930,31180
644,7804,14219,12142,1438,1751,Open,CAT A,760,77790
645,8283,11709,15284,1426,1718,No Parking,CAT C,370,47570
646,8451,11465,12406,1412,1701,Not Provided,CAT A,630,69130
647,6666,10531,12005,1622,1944,Covered,CAT A,360,75970
648,12337,13653,15193,1503,1791,Open,CAT C,630,68350
649,7188,12268,12783,1501,1789,Open,CAT C,670,41680
650,10632,14276,13109,1971,2342,Covered,CAT B,690,86560
651,11310,12783,15627,1383,1687,Open,CAT A,830,81390
652,6745,5772,9747,1371,1635,Covered,CAT A,720,50730
653,8645,10897,15845,1508,1823,No Parking,CAT A,520,71290
654,6714,7862,10067,1057,1284,Open,CAT A,750,70110
655,8351,11696,13422,1411,1680,Covered,CAT A,1070,61590
656,7673,12311,13146,1466,1746,Covered,CAT C,590,69370
657,9792,10755,15681,1545,1888,Covered,CAT B,600,67110
658,11255,9174,16617,2044,2408,Not Provided,CAT B,380,82020
659,8148,12093,13164,1887,2264,Not Provided,CAT C,830,62050
660,8168,15365,15215,1505,1836,Open,CAT C,940,61730
661,9545,9831,12811,1422,1722,Open,CAT C,560,58660
662,7550,11193,13279,1564,1869,Covered,CAT B,1030,53370
663,8707,14403,13703,1510,1810,No Parking,CAT C,730,39700
664,5632,9765,9859,1568,1920,Not Provided,CAT C,890,53750
665,4778,9811,11385,1933,2338,Not Provided,CAT B,1140,44730
666,5222,8952,11776,1501,1822,No Parking,CAT B,590,49350
667,10014,11682,13425,1593,1911,Open,CAT B,580,43340
668,14637,15127,14763,1812,2189,No Parking,CAT A,310,78090
669,7903,7881,11860,1580,1895,Open,CAT B,720,54950
670,12359,13926,15304,1440,1749,Not Provided,CAT A,490,75530
671,9751,10544,12888,1100,1331,No Parking,CAT B,1010,57330
672,5947,8114,11272,1534,1841,Covered,CAT A,680,87930
673,10809,12539,15552,1299,1555,Not Provided,CAT B,1020,56850
674,12389,12020,17056,1767,2121,No Parking,CAT A,1050,78430
675,5598,12246,10900,1368,1649,Not Provided,CAT B,740,63660
676,5539,13503,11421,1393,1670,Covered,CAT A,410,62960
677,10370,11615,14419,1327,1590,Open,CAT A,770,81870
678,8128,14461,15753,1514,1794,Covered,CAT B,1400,54820
679,7288,9560,12531,1989,2414,No Parking,CAT A,860,116320
680,9823,13861,14579,1334,1584,Not Provided,CAT B,840,57200
681,5351,6435,12231,1533,1817,Covered,CAT A,950,84360
682,6685,10345,8646,1809,2145,Not Provided,CAT B,940,36530
683,9329,11050,12306,1607,1933,Not Provided,CAT A,930,81260
684,13823,16489,17178,1165,1387,Not Provided,CAT A,1060,82350
685,7431,11293,10991,1193,1430,Covered,CAT A,560,80830
686,8759,12879,13776,1709,2065,No Parking,CAT C,670,30610
687,9420,13980,13290,1525,1839,No Parking,CAT B,540,51310
688,7846,7486,12195,1348,1623,No Parking,CAT A,1010,72940
689,,,7966,1345,1626,Open,CAT A,820,78210
690,5038,14034,11450,1132,1366,Covered,CAT B,1340,52450
691,5059,7402,10629,1667,2020,Not Provided,CAT A,980,66070
692,8012,5276,11844,1427,1720,No Parking,CAT B,630,43190
693,4079,8940,9831,1211,1447,Open,CAT B,1110,40730
694,8406,12039,13144,1717,2048,Not Provided,CAT A,700,78530
695,7408,9188,12475,1766,2111,No Parking,CAT A,580,94690
696,7468,16525,15383,1086,1299,No Parking,CAT B,1050,44400
697,10985,13935,16737,1410,1692,Open,CAT A,790,73800
698,5481,13129,12275,1476,1760,Not Provided,CAT B,600,37390
699,6750,10899,11479,1068,1278,Open,CAT A,440,64120
700,5874,10389,8292,1485,1785,Not Provided,CAT A,1340,66160
701,5627,13099,10068,1461,1739,Covered,CAT C,1250,22310
702,3844,9029,8292,1685,2010,Open,CAT C,990,62380
703,9209,10610,13222,1624,1958,Open,CAT A,290,63850
704,7290,8691,10953,1658,2000,Not Provided,CAT C,350,36210
705,8729,9922,11314,1427,1677,Not Provided,CAT B,210,54590
706,8861,10181,15112,1755,2072,No Parking,CAT B,810,69610
707,6497,12467,12711,1211,1472,Open,CAT B,790,65390
708,4697,6004,10759,1591,1896,Open,CAT A,780,78130
709,8503,6922,10746,1797,2126,Open,CAT B,730,55710
710,12135,10244,15410,1519,1823,Open,CAT A,1040,69210
711,8510,10041,13369,1637,1958,Open,CAT A,760,59940
712,9597,10662,11556,1451,1750,Not Provided,CAT A,570,72550
713,9175,11210,14991,1203,1446,Open,CAT B,620,44260
714,5640,8331,12309,1884,2262,Open,CAT A,310,56910
715,11607,14783,16502,1540,1820,Not Provided,CAT B,310,82390
716,7384,9611,9463,1121,1332,Not Provided,CAT A,790,54590
717,10847,12430,15104,1307,1562,No Parking,CAT A,490,69990
718,4984,9442,11597,1475,1775,Covered,CAT B,230,72740
719,5171,10686,12522,1160,1401,Open,CAT B,900,35360
720,11232,10818,16408,1078,1276,Not Provided,CAT A,640,94370
721,4229,7736,11164,1191,1436,Open,CAT B,840,43520
722,10940,8714,12405,1317,1569,Covered,CAT C,780,36000
723,8499,7295,13189,1548,1858,Not Provided,CAT A,480,99480
724,9644,10754,13529,1560,1883,Open,CAT A,1040,83220
725,6419,13341,9727,1297,1529,Covered,CAT B,870,52940
726,10989,13153,13797,1645,1958,Covered,CAT B,530,93360
727,13247,11126,16434,1225,1455,Open,CAT B,750,73590
728,11487,12079,14156,1421,1704,Not Provided,CAT B,840,53840
729,7015,10387,11876,1655,1956,Open,CAT B,800,47350
730,8862,9304,14033,1615,1928,Covered,CAT A,660,65080
731,7798,10244,11170,1872,2262,Open,CAT C,560,62050
732,10300,11870,15364,1317,1581,Not Provided,CAT C,910,30020
733,4101,13623,11261,1434,1729,No Parking,CAT B,480,49510
734,10947,14084,16646,1791,2167,Open,CAT A,700,64320
735,8701,8969,12290,932,1120,Covered,CAT B,660,35590
736,5922,10858,11683,1609,1924,Covered,CAT C,1170,63050
737,6868,11800,12496,1495,1793,Open,CAT B,1020,65300
738,11041,11886,15799,1769,2153,Not Provided,CAT A,580,69560
739,5913,7138,9401,1693,2032,Open,CAT C,610,41910
740,10073,10474,13497,1247,1497,Open,CAT B,590,28330
741,7091,9344,11297,1502,1815,No Parking,CAT C,190,55980
742,11849,9005,14370,1360,1612,Open,CAT B,490,61080
743,12973,15178,18836,1542,1844,Open,CAT B,680,51380
744,7574,11711,15247,1631,1947,Open,CAT A,670,84410
745,9085,12731,14181,1246,1482,Open,CAT B,1070,60680
746,4301,11537,10992,1990,2384,Open,CAT B,1110,64690
747,4203,7115,8579,967,1154,Open,CAT B,560,45780
748,6753,14224,12767,1582,1894,Not Provided,CAT C,1100,41800
749,7254,11059,14195,1430,1743,Open,CAT B,970,53230
750,,,13717,1411,1684,Open,CAT B,1000,67130
751,9173,11072,14919,1827,2160,No Parking,CAT B,930,36160
752,6915,11441,13186,1118,1338,Open,CAT B,1040,40450
753,9971,10233,16692,1766,2109,Open,CAT B,1120,57910
754,9399,9367,15170,1799,2173,Not Provided,CAT C,910,36280
755,10130,12675,16231,1167,1411,Not Provided,CAT C,440,39190
756,8627,12260,14990,1493,1795,Not Provided,CAT B,530,62380
757,10496,13162,14686,1445,1734,Open,CAT B,900,21470
758,9258,9702,15077,1033,1237,Open,CAT C,740,34610
759,6728,9506,13849,1440,1711,Covered,CAT A,1020,88120
760,5262,9483,11328,1487,1773,Open,CAT B,970,59190
761,7730,7539,12454,1854,2205,No Parking,CAT C,890,36290
762,1241,6690,6422,1748,2086,Not Provided,CAT B,550,53760
763,6093,7010,9201,1937,2310,Open,CAT A,520,66300
764,8274,11673,13345,1641,1999,Covered,CAT B,950,93000
765,10247,11917,14754,1659,1999,Covered,CAT A,650,65660
766,4244,9371,7845,1743,2061,Open,CAT B,860,81930
767,5097,4574,9365,1449,1733,Covered,CAT C,320,60060
768,4917,7983,8409,1098,1309,No Parking,CAT A,860,59530
769,6365,12640,13601,1121,1351,Open,CAT C,900,46380
770,5951,9976,9312,1526,1858,Open,CAT A,550,76200
771,8074,11854,13745,1358,1645,Not Provided,CAT C,770,56860
772,8985,14620,15158,1336,1616,Open,CAT B,710,86620
773,5217,9329,10885,1502,1802,No Parking,CAT B,840,49730
774,8541,12045,14243,1534,1858,Open,CAT A,860,88370
775,7067,10289,15577,1418,1699,No Parking,CAT B,870,49160
776,5947,12991,10227,854,1018,Not Provided,CAT A,660,77740
777,7374,11516,14480,1450,1728,Not Provided,CAT C,930,38560
778,9404,11783,13882,1474,1776,No Parking,CAT A,1020,51990
779,11446,12213,16569,1524,1819,Open,CAT C,1190,39970
780,7805,9491,13544,1361,1638,Open,CAT B,1140,46040
781,7684,7671,13192,1398,1683,Open,CAT B,490,49500
782,7646,11556,12778,1085,1308,Open,CAT B,1170,76670
783,8618,10717,12286,1660,1979,Covered,CAT C,480,75800
784,8104,10396,15870,1648,2017,No Parking,CAT A,930,81720
785,11243,10747,15220,1453,1749,Covered,CAT B,890,58440
786,11436,11270,15073,1323,1591,Not Provided,CAT A,680,85720
787,12794,11457,16229,1385,1643,No Parking,CAT C,740,70940
788,12095,9405,14191,1250,1506,Covered,CAT B,990,62420
789,9585,14223,15252,1389,1683,No Parking,CAT B,680,56880
790,12262,12066,13268,1486,1758,Not Provided,CAT A,820,101820
791,7376,12607,11282,1655,1993,Not Provided,CAT A,440,86890
792,14470,14517,18178,1645,1963,Open,CAT C,900,47300
793,10178,7223,14855,1464,1771,No Parking,CAT C,1080,31270
794,10532,12849,17962,1197,1428,Not Provided,CAT B,830,65410
795,,,11806,1467,1726,No Parking,CAT B,530,75030
796,7089,11023,13672,1878,2264,Not Provided,CAT A,310,54200
797,6944,12427,12710,1150,1378,Not Provided,CAT A,730,67390
798,4937,9926,12712,1562,1881,Open,CAT B,740,54530
799,9240,9365,13101,1596,1939,Not Provided,CAT A,960,79760
800,8055,7191,12428,1119,1345,Not Provided,CAT A,790,78060
801,8872,12192,14561,1116,1347,Open,CAT A,700,74080
802,8284,13014,14525,1934,2349,Open,CAT C,750,52990
803,6710,11558,12516,1299,1540,No Parking,CAT A,590,70580
804,11033,9554,16471,1417,1689,No Parking,CAT C,570,34310
805,8603,11358,12631,1235,1503,Covered,CAT A,660,74160
806,8975,12811,15983,1497,1815,Not Provided,CAT B,700,59190
807,5076,12426,13916,1430,1704,Not Provided,CAT C,1070,43370
808,8016,11723,14084,1537,1877,Open,CAT C,660,17670
809,10888,12334,13248,1444,1742,Covered,CAT B,840,56710
810,11162,17227,15805,1477,1798,No Parking,CAT C,850,59820
811,8221,10396,12215,1041,1246,Open,CAT C,600,36190
812,,,,,,Open,CAT A,440,300
813,3228,9427,8678,1226,1472,No Parking,CAT A,710,60440
814,6477,12491,12168,1489,1783,Open,CAT A,450,75300
815,5736,8874,9142,1549,1871,Covered,CAT B,740,74080
816,7404,8906,8603,1073,1280,Open,CAT C,1240,60440
817,3003,7425,8635,1473,1785,Open,CAT A,570,80720
818,8912,8622,12611,2013,2396,Open,CAT C,580,47060
819,4035,5870,10523,1975,2368,Covered,CAT A,450,86830
820,8995,10230,13308,1561,1877,Covered,CAT A,790,56790
821,5424,6768,10459,1427,1723,Not Provided,CAT A,1040,67090
822,7223,14785,15856,1441,1747,Not Provided,CAT C,670,44370
823,8130,11848,13787,1275,1548,Open,CAT A,370,82970
824,9054,10247,13668,1574,1876,Not Provided,CAT A,620,56230
825,8606,14626,14267,1511,1791,No Parking,CAT B,1010,53760
826,10896,12078,13838,1428,1713,No Parking,CAT C,550,55390
827,8085,14677,14071,1388,1672,Open,CAT A,800,73500
828,8574,13442,14039,1057,1280,Covered,CAT C,610,41050
829,7921,9155,13610,1440,1747,Covered,CAT B,1090,67320
830,7929,13867,14846,1349,1610,Open,CAT B,700,65890
831,12772,16247,17250,1536,1808,Open,CAT C,830,56380
832,11719,11627,16141,2019,2420,Not Provided,CAT B,850,85670
833,7256,6832,11747,1236,1508,Covered,CAT B,1260,70830
834,8441,10093,13715,1436,1715,Open,CAT B,1030,48180
835,8607,8125,10064,1862,2248,Not Provided,CAT B,1160,51910
836,8598,5134,9461,1200,1442,Not Provided,CAT C,880,44320
837,8952,10380,13594,1360,1650,No Parking,CAT A,420,58940
838,10180,11465,14967,1722,2078,Open,CAT A,770,73610
839,7613,12937,12438,1577,1902,No Parking,CAT C,910,54060
840,8681,13158,15062,1850,2214,Covered,CAT A,1110,85000
841,3286,10258,10623,1447,1730,Covered,CAT C,510,49030
842,6233,11562,9659,1496,1800,Not Provided,CAT A,780,63300
843,11977,9765,13321,1679,2008,Open,CAT A,790,84300
844,8826,7816,15012,994,1194,Open,CAT A,1090,81390
845,10410,13110,16559,1354,1635,Covered,CAT A,1270,95900
846,12189,13518,17420,1762,,Covered,CAT A,790,82140
847,9418,9913,14103,1597,1918,Open,CAT A,1260,71830
848,8740,10899,13447,1873,2252,Covered,CAT C,330,79310
849,9847,12288,15977,1218,1459,Open,CAT A,540,87890
850,8339,9392,10785,1458,1746,Not Provided,CAT C,720,48610
851,9721,10530,14692,1546,1860,Covered,CAT A,670,73160
852,6988,11932,12292,1608,1962,Open,CAT B,770,36280
853,4494,9538,10227,1822,2160,Open,CAT B,860,49720
854,8216,11665,12694,1716,2038,Not Provided,CAT B,410,44400
855,146,1666,3227,1072,1296,Open,CAT C,900,47590
856,10550,15272,16738,1330,1604,Open,CAT C,480,51460
857,4894,7778,11048,1588,1892,Open,CAT C,540,57750
858,9154,10416,16288,1425,1733,Open,CAT B,760,66000
859,7756,9038,10210,1778,2133,Open,CAT B,280,45950
860,10662,12056,16089,1363,1630,Open,CAT C,1120,53900
861,4385,7297,9569,1609,1928,Not Provided,CAT C,160,37920
862,3284,7836,9240,1671,2024,Not Provided,CAT B,620,63100
863,10593,10246,15143,1379,1636,No Parking,CAT C,440,36770
864,12181,15244,16983,1218,1452,Covered,CAT C,870,43910
865,5663,11526,9346,1724,2101,Open,CAT B,900,66390
866,3800,8105,9028,986,1179,Not Provided,CAT B,710,59160
867,6486,4644,9312,1330,1606,Covered,CAT C,590,38510
868,7216,12943,12133,1437,1725,Open,CAT B,910,46220
869,7873,11161,13081,1327,1609,Open,CAT C,1320,41500
870,5536,12153,11937,1304,,Open,CAT C,530,31950
871,4966,8278,11349,1651,2009,Open,CAT B,1000,58160
872,8062,9702,13106,1211,1462,Not Provided,CAT B,670,38530
873,5000,12943,14131,1916,2277,Covered,CAT B,610,55880
874,9858,11997,16321,1638,1937,Open,CAT A,1050,70940
875,9855,11962,15007,1172,1413,Open,CAT B,480,53940
876,9997,12349,13043,1350,1606,Covered,CAT A,770,43030
877,11090,10120,14193,1528,1843,Covered,CAT C,340,59820
878,5925,9388,9735,1305,1557,Covered,CAT B,580,55500
879,10071,12531,16707,1463,1751,Not Provided,CAT B,900,49990
880,9755,13857,15011,1409,1727,No Parking,CAT B,700,42980
881,7234,11952,14681,1419,1743,Not Provided,CAT A,860,65970
882,6916,7956,11608,1535,1819,No Parking,CAT A,540,59290
883,8487,13020,15515,1474,1745,Not Provided,CAT A,970,63020
884,13354,13720,14403,919,1099,Open,CAT B,1560,73810
885,7315,14823,12817,2067,2492,Not Provided,CAT C,790,70230
