ID,delinquent,Sdelinquent,term,gender,purpose,home_ownership,age,FICO
2092,Yes,1,36 months,Female,Wedding,Own,20-25,>500
2093,Yes,1,36 months,Female,Wedding,Rent,>25,300-500
2094,Yes,1,36 months,Female,House,Rent,>25,>500
2095,No,0,36 months,Female,Other,Mortgage,>25,>500
2096,Yes,1,36 months,Female,Car,Mortgage,20-25,>500
2097,Yes,1,36 months,Male,House,Rent,20-25,300-500
2098,Yes,1,36 months,Female,House,Rent,20-25,300-500
2099,No,0,36 months,Female,House,Rent,>25,>500
2100,Yes,1,36 months,Male,House,Rent,>25,>500
2101,Yes,1,60 months,Male,House,Rent,20-25,>500
2102,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
2103,No,0,36 months,Male,House,Rent,20-25,>500
2104,Yes,1,36 months,Female,House,Rent,>25,300-500
2105,No,0,36 months,Male,Other,Mortgage,20-25,>500
2106,Yes,1,36 months,Female,House,Rent,>25,300-500
2107,No,0,60 months,Male,Car,Rent,>25,300-500
2108,Yes,1,36 months,Male,Car,Mortgage,>25,>500
2109,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2110,No,0,36 months,Female,House,Rent,20-25,>500
2111,Yes,1,36 months,Male,House,Rent,20-25,300-500
2112,Yes,1,60 months,Male,House,Mortgage,20-25,>500
2113,No,0,36 months,Female,Car,Rent,>25,>500
2114,Yes,1,36 months,Male,Other,Rent,20-25,300-500
2115,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2116,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2117,No,0,36 months,Male,Wedding,Rent,>25,>500
2118,Yes,1,36 months,Male,Other,Rent,>25,>500
2119,Yes,1,36 months,Female,House,Rent,>25,>500
2120,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2121,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2122,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
2123,No,0,36 months,Female,House,Mortgage,>25,>500
2124,Yes,1,36 months,Female,House,Own,20-25,300-500
2125,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2126,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2127,No,0,36 months,Female,House,Mortgage,>25,>500
2128,No,0,60 months,Male,House,Rent,>25,300-500
2129,Yes,1,36 months,Female,Other,Rent,>25,300-500
2130,Yes,1,36 months,Male,House,Mortgage,>25,>500
2131,No,0,36 months,Male,Personal,Own,20-25,>500
2132,No,0,36 months,Female,House,Rent,20-25,>500
2133,Yes,1,36 months,Male,House,Rent,20-25,300-500
2134,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
2135,Yes,1,36 months,Male,Other,Rent,>25,>500
2136,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2137,Yes,1,36 months,Male,House,Rent,20-25,300-500
2138,No,0,36 months,Female,House,Own,20-25,>500
2139,Yes,1,36 months,Male,Car,Mortgage,>25,>500
2140,No,0,60 months,Male,Personal,Rent,>25,>500
2141,No,0,36 months,Male,House,Rent,>25,>500
2142,No,0,36 months,Male,House,Mortgage,20-25,300-500
2143,Yes,1,36 months,Female,House,Rent,20-25,300-500
2144,No,0,36 months,Female,Car,Rent,20-25,300-500
2145,Yes,1,36 months,Male,House,Rent,20-25,>500
2146,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2147,Yes,1,36 months,Female,House,Rent,>25,>500
2148,Yes,1,36 months,Male,House,Rent,20-25,300-500
2149,Yes,1,36 months,Female,House,Rent,>25,300-500
2150,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2151,Yes,1,36 months,Male,House,Rent,>25,>500
2152,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2153,Yes,1,36 months,Female,House,Rent,>25,300-500
2154,Yes,1,36 months,Male,House,Own,20-25,300-500
2155,Yes,1,36 months,Female,House,Rent,20-25,>500
2156,No,0,36 months,Male,Car,Mortgage,>25,>500
2157,Yes,1,36 months,Male,House,Mortgage,>25,>500
2158,No,0,36 months,Female,House,Mortgage,20-25,>500
2159,Yes,1,36 months,Male,House,Rent,20-25,>500
2160,Yes,1,36 months,Male,Wedding,Rent,20-25,300-500
2161,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2162,Yes,1,36 months,Female,Other,Rent,>25,300-500
2163,Yes,1,36 months,Male,Other,Rent,20-25,>500
2164,No,0,36 months,Male,House,Rent,20-25,>500
2165,No,0,36 months,Female,House,Rent,>25,>500
2166,No,0,36 months,Female,House,Mortgage,>25,>500
2167,No,0,36 months,Male,Personal,Mortgage,>25,>500
2168,Yes,1,36 months,Male,House,Rent,20-25,300-500
2169,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2170,Yes,1,36 months,Male,House,Mortgage,>25,>500
2171,No,0,36 months,Female,House,Rent,>25,>500
2172,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2173,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2174,No,0,60 months,Male,House,Rent,>25,>500
2175,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2176,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
2177,No,0,60 months,Male,Car,Mortgage,>25,300-500
2178,Yes,1,36 months,Female,House,Rent,20-25,>500
2179,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2180,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2181,No,0,36 months,Female,House,Rent,>25,>500
2182,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2183,No,0,60 months,Male,other,Rent,>25,300-500
2184,Yes,1,36 months,Female,House,Rent,>25,300-500
2185,Yes,1,36 months,Male,House,Rent,>25,>500
2186,Yes,1,36 months,Female,House,Rent,>25,>500
2187,No,0,36 months,Female,House,Rent,20-25,>500
2188,Yes,1,36 months,Male,House,Rent,20-25,300-500
2189,No,0,36 months,Female,Car,Mortgage,>25,>500
2190,No,0,36 months,Male,House,Mortgage,20-25,>500
2191,No,0,60 months,Male,House,Mortgage,>25,300-500
2192,Yes,1,60 months,Male,House,Mortgage,20-25,>500
2193,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2194,Yes,1,36 months,Female,Other,Mortgage,>25,>500
2195,Yes,1,36 months,Male,House,Rent,20-25,300-500
2196,No,0,36 months,Female,Car,Rent,>25,>500
2197,No,0,60 months,Male,House,Rent,>25,300-500
2198,No,0,36 months,Male,House,Mortgage,20-25,>500
2199,Yes,1,36 months,Male,House,Mortgage,20-25,>500
2200,No,0,36 months,Male,House,Rent,20-25,>500
2201,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2202,No,0,60 months,Male,House,Rent,>25,>500
2203,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2204,Yes,1,36 months,Male,House,Rent,>25,>500
2205,Yes,1,36 months,Male,Other,Rent,20-25,300-500
2206,Yes,1,36 months,Female,Medical,Mortgage,>25,>500
2207,No,0,36 months,Male,Other,Own,20-25,300-500
2208,No,0,36 months,Female,House,Mortgage,20-25,>500
2209,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
2210,Yes,1,36 months,Female,Car,Rent,>25,300-500
2211,No,0,36 months,Female,Car,Mortgage,20-25,>500
2212,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2213,No,0,36 months,Female,Car,Rent,>25,>500
2214,Yes,1,36 months,Male,House,Rent,20-25,300-500
2215,No,0,36 months,Female,House,Rent,>25,>500
2216,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
2217,Yes,1,36 months,Male,House,Rent,>25,>500
2218,Yes,1,36 months,Male,House,Rent,>25,>500
2219,No,0,36 months,Male,House,Mortgage,>25,>500
2220,Yes,1,36 months,Female,House,Mortgage,20-25,>500
2221,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2222,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2223,Yes,1,36 months,Female,House,Rent,20-25,300-500
2224,Yes,1,36 months,Female,House,Rent,20-25,300-500
2225,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2226,Yes,1,60 months,Male,House,Mortgage,20-25,>500
2227,Yes,1,36 months,Male,House,Rent,20-25,300-500
2228,Yes,1,36 months,Male,Other,Rent,20-25,300-500
2229,Yes,1,36 months,Female,Car,Mortgage,20-25,300-500
2230,Yes,1,36 months,Female,House,Rent,>25,300-500
2231,No,0,36 months,Female,Car,Mortgage,>25,>500
2232,Yes,1,36 months,Male,House,Rent,20-25,300-500
2233,Yes,1,36 months,Female,House,Rent,>25,300-500
2234,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2235,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2236,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
2237,No,0,36 months,Male,Other,Rent,20-25,300-500
2238,Yes,1,60 months,Male,House,Rent,20-25,>500
2239,No,0,60 months,Male,House,Mortgage,>25,300-500
2240,No,0,36 months,Female,House,Rent,>25,>500
2241,No,0,36 months,Male,Medical,Mortgage,20-25,300-500
2242,No,0,36 months,Male,House,Own,20-25,300-500
2243,No,0,60 months,Male,House,Rent,>25,>500
2244,Yes,1,36 months,Male,House,Rent,20-25,300-500
2245,Yes,1,36 months,Male,House,Mortgage,>25,>500
2246,No,0,36 months,Female,Car,Rent,20-25,300-500
2247,Yes,1,36 months,Female,House,Rent,>25,300-500
2248,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2249,Yes,1,36 months,Female,House,Mortgage,>25,>500
2250,Yes,1,36 months,Female,House,Rent,>25,300-500
2251,Yes,1,36 months,Male,House,Rent,20-25,300-500
2252,No,0,36 months,Female,House,Mortgage,20-25,>500
2253,No,0,36 months,Female,Other,Rent,20-25,>500
2254,No,0,36 months,Male,House,Rent,20-25,300-500
2255,Yes,1,36 months,Female,House,Rent,>25,>500
2256,Yes,1,36 months,Female,House,Rent,20-25,300-500
2257,Yes,1,36 months,Male,House,Rent,>25,>500
2258,Yes,1,36 months,Female,House,Mortgage,>25,>500
2259,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2260,Yes,1,36 months,Female,House,Own,>25,300-500
2261,No,0,36 months,Female,Personal,Mortgage,20-25,>500
2262,Yes,1,60 months,Male,House,Own,20-25,>500
2263,Yes,1,36 months,Male,House,Mortgage,20-25,>500
2264,No,0,36 months,Male,Other,Rent,20-25,>500
2265,No,0,60 months,Male,Car,Rent,>25,>500
2266,Yes,1,36 months,Female,House,Rent,>25,>500
2267,Yes,1,36 months,Female,House,Rent,>25,300-500
2268,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2269,No,0,60 months,Male,House,Rent,>25,>500
2270,No,0,60 months,Male,Personal,Mortgage,>25,>500
2271,Yes,1,36 months,Female,House,Rent,>25,300-500
2272,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2273,No,0,60 months,Male,House,Rent,>25,300-500
2274,No,0,36 months,Male,Wedding,Rent,20-25,>500
2275,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2276,Yes,1,36 months,Female,House,Rent,>25,300-500
2277,No,0,36 months,Male,Other,Rent,20-25,300-500
2278,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2279,No,0,36 months,Male,House,Own,20-25,300-500
2280,No,0,36 months,Male,House,Rent,20-25,300-500
2281,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
2282,No,0,36 months,Female,House,Rent,>25,>500
2283,No,0,36 months,Female,House,Mortgage,20-25,300-500
2284,Yes,1,36 months,Female,House,Rent,>25,300-500
2285,Yes,1,36 months,Male,House,Mortgage,>25,>500
2286,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2287,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2288,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2289,Yes,1,36 months,Female,Medical,Rent,>25,>500
2290,No,0,60 months,Male,Car,Rent,>25,300-500
2291,Yes,1,36 months,Female,House,Rent,>25,300-500
2292,No,0,36 months,Male,Other,Mortgage,20-25,>500
2293,No,0,36 months,Male,House,Mortgage,20-25,>500
2294,Yes,1,36 months,Male,House,Own,20-25,300-500
2295,No,0,36 months,Female,House,Rent,20-25,>500
2296,No,0,36 months,Male,House,Rent,20-25,300-500
2297,Yes,1,36 months,Male,Car,Mortgage,>25,>500
2298,Yes,1,36 months,Male,House,Rent,20-25,300-500
2299,Yes,1,36 months,Male,House,Rent,20-25,300-500
2300,Yes,1,36 months,Male,House,Own,20-25,300-500
2301,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2302,Yes,1,36 months,Male,Wedding,Mortgage,>25,>500
2303,Yes,1,60 months,Male,House,Rent,20-25,>500
2304,Yes,1,36 months,Female,Car,Mortgage,20-25,>500
2305,No,0,60 months,Male,Medical,Mortgage,>25,>500
2306,Yes,1,36 months,Male,House,Rent,20-25,300-500
2307,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2308,Yes,1,36 months,Female,Wedding,Own,>25,300-500
2309,No,0,36 months,Male,House,Mortgage,20-25,300-500
2310,Yes,1,36 months,Female,Medical,Mortgage,>25,>500
2311,Yes,1,36 months,Male,House,Rent,20-25,300-500
2312,Yes,1,36 months,Male,Other,Mortgage,>25,>500
2313,No,0,36 months,Male,House,Rent,>25,>500
2314,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2315,No,0,36 months,Male,House,Rent,20-25,300-500
2316,No,0,36 months,Female,House,Rent,>25,>500
2317,Yes,1,36 months,Female,House,Rent,20-25,300-500
2318,No,0,36 months,Male,House,Mortgage,20-25,>500
2319,Yes,1,36 months,Male,House,Rent,20-25,300-500
2320,Yes,1,36 months,Male,House,Rent,20-25,>500
2321,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2322,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2323,Yes,1,36 months,Male,House,Mortgage,>25,>500
2324,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2325,Yes,1,36 months,Male,House,Mortgage,>25,>500
2326,No,0,36 months,Female,House,Rent,20-25,>500
2327,No,0,60 months,Male,House,Mortgage,>25,>500
2328,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2329,No,0,36 months,Male,House,Mortgage,20-25,300-500
2330,No,0,36 months,Female,House,Rent,20-25,>500
2331,Yes,1,36 months,Female,Wedding,Mortgage,>25,300-500
2332,No,0,36 months,Male,House,Rent,20-25,>500
2333,Yes,1,36 months,Male,House,Rent,20-25,300-500
2334,No,0,36 months,Male,House,Mortgage,20-25,>500
2335,Yes,1,36 months,Female,House,Rent,>25,300-500
2336,Yes,1,36 months,Female,Car,Mortgage,20-25,>500
2337,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2338,Yes,1,36 months,Female,House,Rent,20-25,300-500
2339,No,0,60 months,Male,Medical,Mortgage,>25,>500
2340,Yes,1,36 months,Female,Car,Rent,>25,>500
2341,No,0,36 months,Female,House,Mortgage,20-25,>500
2342,Yes,1,36 months,Female,Personal,Mortgage,20-25,300-500
2343,Yes,1,36 months,Male,Other,Mortgage,>25,>500
2344,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
2345,No,0,36 months,Female,Personal,Own,>25,>500
2346,No,0,60 months,Male,House,Rent,>25,300-500
2347,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2348,No,0,36 months,Female,House,Rent,>25,>500
2349,No,0,36 months,Female,House,Rent,20-25,>500
2350,No,0,36 months,Female,Wedding,Rent,20-25,>500
2351,Yes,1,36 months,Male,House,Rent,20-25,300-500
2352,Yes,1,36 months,Male,House,Rent,>25,>500
2353,No,0,36 months,Female,Car,Rent,>25,>500
2354,Yes,1,36 months,Female,Other,Rent,>25,300-500
2355,Yes,1,36 months,Female,Car,Rent,>25,300-500
2356,No,0,36 months,Female,House,Rent,20-25,>500
2357,Yes,1,36 months,Male,Medical,Rent,20-25,300-500
2358,Yes,1,36 months,Female,Other,Mortgage,20-25,300-500
2359,Yes,1,36 months,Male,House,Rent,20-25,300-500
2360,Yes,1,36 months,Male,House,Mortgage,>25,>500
2361,Yes,1,36 months,Male,House,Rent,>25,>500
2362,No,0,36 months,Male,Car,Mortgage,20-25,300-500
2363,No,0,60 months,Male,Car,Rent,>25,300-500
2364,Yes,1,36 months,Male,House,Rent,>25,>500
2365,Yes,1,36 months,Female,House,Rent,20-25,300-500
2366,Yes,1,36 months,Female,House,Rent,>25,>500
2367,Yes,1,36 months,Female,Other,Own,20-25,300-500
2368,Yes,1,36 months,Male,House,Rent,20-25,300-500
2369,Yes,1,36 months,Male,House,Rent,20-25,300-500
2370,No,0,36 months,Male,House,Mortgage,20-25,300-500
2371,Yes,1,36 months,Male,Car,Mortgage,>25,>500
2372,Yes,1,36 months,Female,House,Rent,>25,300-500
2373,Yes,1,36 months,Male,House,Own,20-25,300-500
2374,No,0,36 months,Female,House,Rent,20-25,>500
2375,Yes,1,36 months,Male,House,Rent,>25,>500
2376,Yes,1,36 months,Female,House,Own,>25,300-500
2377,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2378,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2379,No,0,60 months,Male,Medical,Rent,>25,300-500
2380,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
2381,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2382,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2383,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2384,No,0,36 months,Female,Car,Mortgage,>25,>500
2385,Yes,1,36 months,Male,House,Mortgage,20-25,>500
2386,No,0,60 months,Male,House,Rent,>25,300-500
2387,No,0,36 months,Male,Car,Rent,20-25,300-500
2388,Yes,1,36 months,Female,House,Rent,>25,300-500
2389,Yes,1,36 months,Female,House,Rent,>25,300-500
2390,Yes,1,36 months,Female,Car,Rent,>25,300-500
2391,Yes,1,36 months,Female,House,Rent,>25,300-500
2392,Yes,1,36 months,Male,Car,Mortgage,>25,>500
2393,Yes,1,36 months,Male,House,Mortgage,>25,>500
2394,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2395,No,0,60 months,Male,House,Mortgage,>25,>500
2396,Yes,1,36 months,Female,Medical,Own,>25,300-500
2397,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
2398,No,0,60 months,Male,House,Rent,>25,>500
2399,No,0,36 months,Male,House,Rent,20-25,300-500
2400,No,0,36 months,Female,Personal,Mortgage,>25,>500
2401,Yes,1,36 months,Male,House,Rent,20-25,300-500
2402,Yes,1,36 months,Female,House,Rent,>25,>500
2403,No,0,36 months,Male,House,Rent,20-25,>500
2404,Yes,1,36 months,Female,Personal,Mortgage,>25,>500
2405,Yes,1,36 months,Male,House,Mortgage,>25,>500
2406,No,0,36 months,Female,House,Mortgage,20-25,>500
2407,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2408,Yes,1,36 months,Male,House,Mortgage,>25,>500
2409,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2410,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
2411,Yes,1,36 months,Male,House,Mortgage,>25,>500
2412,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2413,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2414,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2415,Yes,1,36 months,Female,House,Rent,20-25,300-500
2416,Yes,1,36 months,Male,House,Rent,20-25,300-500
2417,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2418,No,0,36 months,Female,House,Mortgage,>25,>500
2419,No,0,36 months,Male,House,Rent,20-25,>500
2420,No,0,36 months,Female,House,Rent,20-25,>500
2421,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2422,No,0,60 months,Male,House,Mortgage,>25,300-500
2423,Yes,1,36 months,Male,House,Rent,>25,>500
2424,Yes,1,36 months,Female,House,Own,>25,300-500
2425,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2426,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2427,Yes,1,36 months,Male,House,Rent,20-25,300-500
2428,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2429,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2430,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2431,No,0,36 months,Female,House,Mortgage,>25,>500
2432,No,0,36 months,Female,House,Own,>25,>500
2433,Yes,1,36 months,Male,House,Mortgage,>25,>500
2434,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2435,No,0,36 months,Male,Wedding,Rent,20-25,>500
2436,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2437,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2438,Yes,1,36 months,Male,House,Mortgage,>25,>500
2439,Yes,1,60 months,Male,House,Own,20-25,>500
2440,Yes,1,36 months,Female,House,Rent,>25,300-500
2441,No,0,36 months,Male,House,Rent,>25,>500
2442,No,0,36 months,Male,House,Mortgage,20-25,>500
2443,Yes,1,36 months,Female,House,Rent,>25,>500
2444,Yes,1,36 months,Male,House,Rent,>25,>500
2445,No,0,36 months,Female,House,Rent,>25,>500
2446,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2447,Yes,1,36 months,Female,House,Rent,>25,300-500
2448,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2449,No,0,60 months,Male,House,Mortgage,>25,300-500
2450,Yes,1,36 months,Male,House,Mortgage,>25,>500
2451,No,0,36 months,Female,Personal,Mortgage,20-25,>500
2452,No,0,36 months,Male,House,Mortgage,20-25,>500
2453,No,0,60 months,Male,House,Mortgage,>25,>500
2454,No,0,36 months,Female,House,Mortgage,20-25,>500
2455,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2456,Yes,1,36 months,Female,House,Rent,>25,300-500
2457,Yes,1,36 months,Male,House,Rent,20-25,300-500
2458,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
2459,No,0,36 months,Male,House,Mortgage,20-25,300-500
2460,Yes,1,36 months,Female,Other,Rent,>25,300-500
2461,No,0,60 months,Male,Car,Rent,>25,>500
2462,No,0,36 months,Female,Other,Mortgage,>25,>500
2463,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2464,No,0,36 months,Female,Car,Rent,>25,>500
2465,No,0,36 months,Male,House,Rent,20-25,300-500
2466,Yes,1,36 months,Female,House,Rent,>25,>500
2467,Yes,1,36 months,Female,Car,Own,>25,300-500
2468,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2469,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2470,Yes,1,36 months,Male,Car,Mortgage,20-25,>500
2471,Yes,1,36 months,Male,House,Mortgage,>25,>500
2472,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2473,Yes,1,36 months,Male,House,Mortgage,>25,>500
2474,Yes,1,36 months,Female,House,Rent,>25,300-500
2475,No,0,60 months,Male,Medical,Rent,>25,300-500
2476,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2477,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2478,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2479,Yes,1,36 months,Male,House,Own,20-25,300-500
2480,Yes,1,36 months,Male,House,Rent,20-25,300-500
2481,Yes,1,36 months,Male,Other,Rent,20-25,300-500
2482,Yes,1,36 months,Male,House,Rent,20-25,300-500
2483,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2484,No,0,36 months,Male,Personal,Mortgage,20-25,300-500
2485,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2486,No,0,36 months,Male,House,Mortgage,>25,>500
2487,No,0,60 months,Male,House,Mortgage,>25,>500
2488,No,0,36 months,Male,Personal,Mortgage,20-25,>500
2489,No,0,36 months,Female,House,Rent,>25,>500
2490,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
2491,No,0,36 months,Male,House,Rent,20-25,300-500
2492,Yes,1,36 months,Male,House,Own,>25,>500
2493,Yes,1,60 months,Male,Car,Mortgage,20-25,>500
2494,Yes,1,36 months,Female,Other,Rent,20-25,300-500
2495,Yes,1,36 months,Male,Personal,Own,20-25,300-500
2496,Yes,1,36 months,Male,House,Own,20-25,>500
2497,Yes,1,60 months,Male,Car,Rent,20-25,>500
2498,No,0,36 months,Male,Car,Rent,20-25,300-500
2499,Yes,1,36 months,Male,Medical,Mortgage,20-25,300-500
2500,No,0,36 months,Female,House,Mortgage,20-25,>500
2501,Yes,1,36 months,Male,House,Own,>25,>500
2502,Yes,1,36 months,Female,House,Mortgage,20-25,>500
2503,Yes,1,36 months,Female,House,Rent,>25,300-500
2504,Yes,1,36 months,Male,House,Mortgage,>25,>500
2505,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2506,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2507,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2508,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2509,Yes,1,36 months,Male,Other,Mortgage,20-25,300-500
2510,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2511,No,0,36 months,Male,House,Rent,20-25,300-500
2512,No,0,36 months,Male,House,Mortgage,20-25,>500
2513,No,0,36 months,Male,House,Mortgage,>25,>500
2514,Yes,1,36 months,Male,Car,Rent,20-25,300-500
2515,Yes,1,36 months,Female,House,Rent,>25,300-500
2516,Yes,1,36 months,Female,House,Rent,>25,>500
2517,No,0,36 months,Male,Wedding,Rent,20-25,300-500
2518,Yes,1,36 months,Female,House,Mortgage,>25,300-500
2519,No,0,36 months,Female,House,Mortgage,>25,>500
2520,No,0,36 months,Female,House,Rent,>25,>500
2521,No,0,36 months,Female,Car,Rent,20-25,>500
2522,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2523,Yes,1,36 months,Female,House,Rent,>25,300-500
2524,No,0,36 months,Female,Car,Mortgage,20-25,>500
2525,Yes,1,36 months,Female,House,Mortgage,20-25,300-500
2526,Yes,1,36 months,Female,House,Rent,>25,>500
2527,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2528,No,0,60 months,Male,House,Rent,>25,300-500
2529,No,0,36 months,Female,Car,Rent,>25,>500
2530,Yes,1,36 months,Female,House,Mortgage,>25,>500
2531,Yes,1,36 months,Male,House,Rent,>25,>500
2532,Yes,1,36 months,Male,House,Rent,20-25,300-500
2533,No,0,36 months,Female,Other,Rent,>25,>500
2534,Yes,1,36 months,Male,Personal,Mortgage,>25,>500
2535,Yes,1,36 months,Male,House,Mortgage,>25,>500
2536,Yes,1,36 months,Male,House,Rent,20-25,300-500
2537,Yes,1,36 months,Female,Personal,Rent,>25,300-500
2538,Yes,1,36 months,Male,House,Mortgage,20-25,>500
2539,No,0,36 months,Female,Car,Mortgage,>25,>500
2540,Yes,1,36 months,Female,House,Rent,>25,300-500
2541,Yes,1,36 months,Female,Car,Mortgage,>25,300-500
2542,Yes,1,36 months,Female,Personal,Own,>25,300-500
2543,No,0,60 months,Male,House,Mortgage,>25,>500
2544,Yes,1,36 months,Female,Other,Mortgage,>25,300-500
2545,Yes,1,36 months,Male,Car,Mortgage,20-25,300-500
2546,Yes,1,36 months,Female,House,Mortgage,20-25,>500
2547,Yes,1,36 months,Male,Medical,Mortgage,>25,>500
2548,No,0,36 months,Female,Other,Mortgage,>25,>500
2549,No,0,36 months,Female,Car,Rent,>25,>500
2550,Yes,1,36 months,Female,Personal,Mortgage,>25,300-500
2551,Yes,1,60 months,Male,House,Own,20-25,>500
2552,Yes,1,36 months,Female,Car,Rent,>25,300-500
2553,Yes,1,36 months,Male,House,Mortgage,>25,>500
2554,No,0,36 months,Male,House,Mortgage,20-25,>500
2555,Yes,1,36 months,Male,House,Mortgage,20-25,300-500
2556,Yes,1,36 months,Male,Personal,Mortgage,20-25,300-500
2557,No,0,60 months,Male,House,Rent,>25,300-500
2558,No,0,36 months,Male,Car,Rent,20-25,300-500
2559,No,0,36 months,Male,House,Rent,20-25,300-500
2560,Yes,1,36 months,Male,Car,Rent,>25,>500
