,employee_id,department,education,gender,no_of_trainings,age,last_promotion_rating,employee_since_years,all_tasks_completed,training_marks,is_promoted
2280,2003011,HR,Master's & above,f,1,44,5,9,1,49,0
2281,2003012,Sales & Marketing,Bachelor's,m,1,26,5,5,1,93,1
2282,2003013,Technology,Master's & above,m,1,40,4,3,0,82,0
2283,2003014,Operations,Bachelor's,m,1,30,3,3,0,64,0
2284,2003015,Sales & Marketing,Bachelor's,m,1,29,5,5,0,52,0
2285,2003016,Analytics,Bachelor's,m,3,30,3,6,0,79,0
2287,2003017,Procurement,Master's & above,f,1,41,5,7,1,68,0
2288,2003018,Operations,Master's & above,m,1,40,2,5,0,54,0
2289,2003019,Sales & Marketing,Bachelor's,f,1,54,4,12,1,47,1
2290,2003020,Procurement,Bachelor's,m,1,32,3,5,0,72,0
2291,2003021,Technology,Master's & above,m,1,58,2,14,1,87,0
2292,2003022,Procurement,Bachelor's,m,1,31,5,3,1,74,0
2293,2003023,Sales & Marketing,Bachelor's,m,1,30,4,2,0,51,0
2294,2003024,Procurement,Bachelor's,m,1,56,2,16,0,74,0
2295,2003025,Procurement,Bachelor's,m,1,27,3,2,0,71,0
2296,2003026,Operations,Bachelor's,f,1,30,4,6,1,59,1
2297,2003027,Sales & Marketing,Master's & above,m,1,36,3,4,0,47,0
2298,2003028,Finance,Bachelor's,m,1,50,4,7,0,54,0
2299,2003029,Technology,Master's & above,m,3,34,3,3,0,80,0
2300,2003030,Sales & Marketing,Bachelor's,m,1,25,5,2,1,49,0
2302,2003031,Sales & Marketing,Bachelor's,m,1,35,3,7,0,55,0
2304,2003032,Analytics,Bachelor's,m,1,42,1,5,1,87,0
2305,2003033,Analytics,Bachelor's,m,1,29,3,7,0,87,0
2307,2003034,Operations,Bachelor's,m,1,39,3,9,0,57,0
2308,2003035,Procurement,Bachelor's,m,1,35,3,8,0,71,0
2309,2003036,Analytics,Bachelor's,m,1,33,5,3,1,92,1
2310,2003037,Technology,Bachelor's,f,1,43,3,2,0,78,0
2312,2003038,Procurement,Master's & above,m,1,49,3,8,0,75,0
2313,2003039,Sales & Marketing,Master's & above,m,3,49,3,6,0,49,0
2314,2003040,Operations,Master's & above,m,1,60,5,4,1,60,0
2316,2003041,Sales & Marketing,Bachelor's,m,1,38,5,3,0,51,0
2317,2003042,Operations,Bachelor's,m,1,33,3,7,1,61,0
2318,2003043,Operations,Bachelor's,f,1,37,3,7,1,60,0
2319,2003044,Procurement,Bachelor's,m,1,40,3,4,1,67,1
2320,2003045,Analytics,Bachelor's,m,1,28,3,2,1,88,1
2321,2003046,Procurement,Bachelor's,m,3,29,3,2,1,67,0
2322,2003047,Sales & Marketing,Master's & above,m,1,39,4,15,0,49,0
2323,2003048,Analytics,Bachelor's,m,2,30,1,3,0,79,0
2324,2003049,Sales & Marketing,Master's & above,m,2,34,5,5,1,49,0
2325,2003050,Analytics,Master's & above,m,1,32,2,5,0,85,0
2326,2003051,Sales & Marketing,Bachelor's,m,1,30,5,6,0,45,0
2327,2003052,Technology,Bachelor's,m,1,39,4,7,1,80,0
2328,2003053,Sales & Marketing,Bachelor's,m,1,46,4,2,0,53,0
2329,2003054,Sales & Marketing,Bachelor's,m,1,39,3,9,0,51,0
2331,2003055,Procurement,Bachelor's,f,1,37,5,8,1,74,0
2332,2003056,Procurement,Bachelor's,m,1,38,5,3,1,70,1
2334,2003057,Sales & Marketing,Master's & above,m,1,41,1,3,0,50,0
2335,2003058,Sales & Marketing,Bachelor's,m,2,29,5,3,1,48,0
2336,2003059,Procurement,Bachelor's,m,2,35,3,3,0,93,1
2337,2003060,Analytics,Master's & above,m,2,35,3,6,0,93,0
2338,2003061,Analytics,Bachelor's,m,1,32,5,3,1,85,0
2339,2003062,Operations,Master's & above,m,1,50,2,18,0,60,0
2340,2003063,Sales & Marketing,Bachelor's,m,2,41,3,5,0,48,0
2341,2003064,Technology,Bachelor's,f,1,29,4,4,1,82,1
2342,2003065,Operations,Master's & above,m,1,42,1,6,0,55,0
2343,2003066,Operations,Bachelor's,m,1,50,3,25,0,61,0
2344,2003067,Operations,Master's & above,f,1,39,5,10,0,61,0
2345,2003068,Legal,Master's & above,m,1,39,1,6,0,56,0
2347,2003069,Sales & Marketing,Master's & above,f,2,47,1,9,0,54,0
2348,2003070,Procurement,Bachelor's,f,1,35,3,3,0,69,0
2349,2003071,Operations,Bachelor's,m,2,29,4,7,0,66,0
2350,2003072,Analytics,Master's & above,m,1,34,5,8,1,82,0
2351,2003073,Technology,Bachelor's,m,1,26,5,4,1,78,1
2354,2003074,Analytics,Bachelor's,m,1,29,4,4,1,80,1
2355,2003075,Sales & Marketing,Master's & above,m,1,40,5,12,0,47,0
2356,2003076,Procurement,Master's & above,f,1,55,5,4,0,69,0
2357,2003077,Sales & Marketing,Bachelor's,m,1,40,5,3,0,51,0
2358,2003078,Operations,Master's & above,f,2,46,5,5,1,57,0
2359,2003079,Operations,Bachelor's,f,1,37,4,10,0,59,0
2361,2003080,Operations,Bachelor's,f,1,32,5,2,0,64,0
2362,2003081,Sales & Marketing,Bachelor's,m,1,27,1,3,0,51,0
2363,2003082,Sales & Marketing,Bachelor's,m,2,23,1,2,0,48,0
2365,2003083,Analytics,Master's & above,m,1,37,5,7,1,90,0
2366,2003084,Sales & Marketing,Bachelor's,m,2,27,3,5,0,48,0
2368,2003085,Procurement,Master's & above,m,1,41,3,3,0,67,0
2370,2003086,Sales & Marketing,Master's & above,m,1,54,3,12,1,53,1
2371,2003087,Analytics,Bachelor's,m,2,29,4,2,0,84,0
2372,2003088,Finance,Bachelor's,f,1,38,5,10,0,61,0
2373,2003089,Sales & Marketing,Bachelor's,m,1,33,5,6,0,52,0
2374,2003090,Operations,Bachelor's,m,2,29,4,4,1,59,0
2375,2003091,Analytics,Master's & above,m,1,32,5,10,1,88,0
2377,2003092,Sales & Marketing,Bachelor's,f,1,32,5,2,0,48,0
2378,2003093,Operations,Master's & above,m,1,38,5,6,0,79,1
2379,2003094,Procurement,Bachelor's,m,1,36,1,9,0,68,0
2380,2003095,Sales & Marketing,Bachelor's,m,1,29,1,4,0,48,0
2381,2003096,Analytics,Bachelor's,m,1,45,5,12,0,85,0
2382,2003097,Legal,Bachelor's,m,1,37,3,7,1,59,0
2383,2003098,Operations,Bachelor's,m,1,50,3,8,0,57,0
2384,2003099,Sales & Marketing,Bachelor's,m,1,29,5,5,0,47,0
2385,2003100,Sales & Marketing,Master's & above,m,1,30,2,7,0,49,0
2386,2003101,Sales & Marketing,Bachelor's,m,1,31,3,2,1,50,0
2387,2003102,Sales & Marketing,Master's & above,m,1,36,1,4,0,48,0
2389,2003103,Technology,Bachelor's,m,1,30,3,6,0,81,1
2390,2003104,Sales & Marketing,Bachelor's,m,1,39,1,3,0,53,0
2391,2003105,Sales & Marketing,Master's & above,f,1,57,4,30,0,50,0
2392,2003106,Analytics,Bachelor's,m,1,33,3,4,1,82,1
2393,2003107,Operations,Bachelor's,m,2,37,3,8,0,62,0
2394,2003108,Sales & Marketing,Bachelor's,m,1,31,2,6,0,55,0
2395,2003109,Operations,Bachelor's,m,1,46,5,9,0,89,1
2397,2003110,Sales & Marketing,Bachelor's,m,1,36,3,9,0,51,0
2398,2003111,Finance,Master's & above,m,1,35,4,8,1,63,0
2399,2003112,Sales & Marketing,Bachelor's,m,1,29,1,3,0,51,0
2400,2003113,Operations,Bachelor's,f,1,39,3,5,1,58,1
2401,2003114,Sales & Marketing,Bachelor's,m,1,35,1,6,0,52,0
2402,2003115,Operations,Bachelor's,m,1,30,3,7,0,55,0
2403,2003116,Sales & Marketing,Bachelor's,m,1,39,5,4,0,50,0
2404,2003117,Analytics,Bachelor's,m,2,30,3,5,0,86,1
2405,2003118,HR,Bachelor's,m,1,30,3,3,0,55,0
2406,2003119,Analytics,Bachelor's,m,1,28,4,2,0,82,0
2408,2003120,Operations,Bachelor's,f,1,30,5,6,0,60,0
2409,2003121,Technology,Bachelor's,f,1,57,1,29,0,81,0
2410,2003122,Technology,Master's & above,f,2,32,1,6,0,83,0
2411,2003123,Sales & Marketing,Bachelor's,m,1,29,2,5,0,45,0
2412,2003124,Operations,Master's & above,f,1,43,3,15,0,59,0
2413,2003125,HR,Bachelor's,f,1,31,3,4,0,49,0
2415,2003126,Sales & Marketing,Master's & above,f,1,31,1,3,0,52,0
2416,2003127,Analytics,Bachelor's,m,1,30,4,5,0,82,0
2417,2003128,Procurement,Master's & above,f,1,38,5,3,0,68,0
2418,2003129,Operations,Bachelor's,m,1,30,3,2,0,56,0
2419,2003130,Sales & Marketing,Bachelor's,m,2,35,3,3,0,41,0
2420,2003131,Procurement,Master's & above,f,2,48,3,11,0,69,0
2421,2003132,Technology,Master's & above,m,2,42,5,12,1,81,0
2422,2003133,Legal,Bachelor's,m,1,38,3,6,1,60,0
2423,2003134,Technology,Bachelor's,m,2,27,4,4,0,79,0
2424,2003135,Technology,Master's & above,f,1,42,5,12,1,77,1
2425,2003136,Procurement,Bachelor's,m,2,30,1,5,1,67,0
2426,2003137,Procurement,Bachelor's,m,2,34,3,2,0,67,0
2427,2003138,Procurement,Master's & above,f,1,35,3,10,0,67,0
2428,2003139,Analytics,Bachelor's,m,1,26,3,2,0,85,1
2429,2003140,Sales & Marketing,Bachelor's,m,1,35,5,9,1,50,0
2430,2003141,Operations,Master's & above,f,1,31,4,6,0,59,0
2431,2003142,Operations,Bachelor's,m,1,34,4,5,0,53,0
2433,2003143,Analytics,Bachelor's,f,1,27,4,5,0,86,0
2434,2003144,Operations,Bachelor's,m,1,33,4,7,1,61,0
2435,2003145,Finance,Master's & above,m,2,43,3,5,1,61,0
2436,2003146,Procurement,Master's & above,f,1,35,3,10,0,67,0
2437,2003147,Technology,Bachelor's,f,1,30,4,5,1,80,0
2438,2003148,Analytics,Bachelor's,m,3,31,3,6,1,86,0
2439,2003149,Technology,Bachelor's,f,1,28,3,3,0,79,0
2440,2003150,Procurement,Bachelor's,f,1,32,3,8,0,73,0
2441,2003151,Operations,Bachelor's,m,1,48,2,7,0,56,0
2442,2003152,Operations,Bachelor's,f,1,36,3,5,0,57,0
2444,2003153,Sales & Marketing,Bachelor's,f,1,34,3,3,0,47,0
2445,2003154,Operations,Bachelor's,m,1,31,1,6,0,55,0
2446,2003155,Analytics,Bachelor's,m,2,35,5,8,1,83,0
2447,2003156,Technology,Bachelor's,m,4,32,3,9,0,76,0
2449,2003157,Procurement,Bachelor's,f,1,35,4,2,1,70,0
2450,2003158,Procurement,Master's & above,f,1,43,4,5,0,66,0
2451,2003159,Sales & Marketing,Bachelor's,m,1,32,3,4,0,49,0
2452,2003160,Procurement,Bachelor's,m,1,28,3,5,1,68,0
2453,2003161,Procurement,Master's & above,f,1,36,5,10,1,70,0
2454,2003162,Technology,Bachelor's,m,1,34,3,3,1,75,1
2455,2003163,Technology,Bachelor's,f,1,35,3,7,0,89,1
2456,2003164,Technology,Master's & above,f,2,49,1,3,1,77,0
2457,2003165,Sales & Marketing,Bachelor's,m,1,59,3,4,1,51,1
2459,2003166,Operations,Bachelor's,m,1,36,3,7,1,62,0
2460,2003167,Technology,Master's & above,m,1,42,2,6,0,81,0
2461,2003168,HR,Bachelor's,m,1,32,1,3,1,51,0
2462,2003169,Operations,Bachelor's,m,1,42,4,11,0,59,0
2463,2003170,R&D,Master's & above,f,1,36,3,7,0,90,0
2464,2003171,Procurement,Bachelor's,f,1,47,4,14,0,74,0
2466,2003172,Procurement,Master's & above,f,1,44,5,5,1,74,0
2467,2003173,Sales & Marketing,Bachelor's,m,2,31,4,4,0,46,0
2468,2003174,HR,Bachelor's,f,1,30,4,3,1,50,0
2469,2003175,Analytics,Master's & above,m,1,34,3,3,0,85,0
2470,2003176,Procurement,Master's & above,f,1,39,3,7,1,72,1
2471,2003177,Operations,Bachelor's,m,1,27,4,2,1,58,0
2472,2003178,Procurement,Master's & above,m,1,43,4,4,0,66,0
2473,2003179,Sales & Marketing,Bachelor's,m,1,29,4,4,0,45,0
2474,2003180,Finance,Bachelor's,f,1,45,3,3,0,55,0
2475,2003181,Sales & Marketing,Bachelor's,m,1,36,4,4,1,46,0
2476,2003182,Operations,Bachelor's,m,1,32,5,4,1,59,0
2477,2003183,Procurement,Bachelor's,m,1,41,5,7,1,72,1
2478,2003184,Operations,Master's & above,m,1,41,3,2,1,58,0
2479,2003185,Operations,Bachelor's,f,1,34,5,9,1,64,0
2480,2003186,Sales & Marketing,Master's & above,m,1,36,4,7,0,48,0
2481,2003187,Technology,Bachelor's,m,1,37,4,2,0,81,0
2482,2003188,Sales & Marketing,Master's & above,m,1,45,3,7,1,46,0
2484,2003189,Sales & Marketing,Master's & above,m,1,40,3,7,0,46,0
2485,2003190,Procurement,Bachelor's,f,1,37,3,5,1,74,0
2486,2003191,Technology,Below Secondary,m,2,24,3,2,1,82,0
2487,2003192,Sales & Marketing,Bachelor's,f,1,31,4,4,0,48,0
2489,2003193,Sales & Marketing,Master's & above,m,1,34,5,9,1,50,1
2490,2003194,Analytics,Master's & above,m,1,42,3,5,1,82,1
2491,2003195,Operations,Bachelor's,f,1,34,5,8,0,60,0
2492,2003196,Technology,Master's & above,f,1,35,3,3,0,74,0
2493,2003197,Sales & Marketing,Master's & above,m,1,38,3,2,0,46,0
2494,2003198,Technology,Bachelor's,f,1,31,3,5,1,79,0
2495,2003199,Operations,Bachelor's,m,3,47,5,4,1,63,0
2496,2003200,Operations,Bachelor's,m,1,38,4,7,1,61,0
2497,2003201,Sales & Marketing,Bachelor's,f,1,31,5,3,1,53,0
2498,2003202,Sales & Marketing,Bachelor's,m,1,28,2,2,0,48,0
2499,2003203,Operations,Bachelor's,f,1,36,5,5,1,65,0
2500,2003204,Sales & Marketing,Bachelor's,m,1,49,2,15,0,53,0
2501,2003205,Operations,Bachelor's,m,1,30,5,5,1,60,0
2502,2003206,Finance,Master's & above,m,1,35,3,7,0,62,0
2503,2003207,Operations,Master's & above,m,1,33,4,4,0,59,0
2504,2003208,Sales & Marketing,Bachelor's,m,1,32,2,7,0,47,0
2505,2003209,Sales & Marketing,Bachelor's,m,1,33,2,8,0,49,0
2507,2003210,Analytics,Bachelor's,m,2,28,5,5,0,83,1
2508,2003211,Sales & Marketing,Master's & above,m,1,33,1,3,0,49,0
2509,2003212,Operations,Bachelor's,m,2,55,5,18,0,71,1
2511,2003213,Finance,Master's & above,m,2,37,3,4,0,59,0
2512,2003214,HR,Master's & above,f,1,34,4,4,0,54,0
2513,2003215,Technology,Bachelor's,m,1,32,3,9,0,76,0
2514,2003216,Procurement,Bachelor's,m,1,31,4,4,0,71,0
2516,2003217,Operations,Bachelor's,m,1,40,3,5,1,54,0
2517,2003218,Procurement,Master's & above,f,1,47,3,17,0,67,0
2518,2003219,Sales & Marketing,Bachelor's,m,1,40,1,3,0,56,0
2519,2003220,Technology,Master's & above,m,1,42,3,5,0,81,1
2520,2003221,Operations,Master's & above,m,1,34,1,7,0,62,0
2521,2003222,Operations,Bachelor's,f,1,30,3,2,0,63,0
2522,2003223,Analytics,Master's & above,m,1,39,3,10,1,87,0
2524,2003224,Operations,Bachelor's,f,1,30,5,5,1,56,0
2525,2003225,Procurement,Bachelor's,f,1,50,3,3,1,65,0
2526,2003226,HR,Bachelor's,m,1,29,3,6,0,54,0
2527,2003227,Sales & Marketing,Master's & above,f,1,31,3,6,0,54,0
2528,2003228,Procurement,Master's & above,f,1,35,4,7,0,73,0
2529,2003229,Operations,Bachelor's,f,1,41,5,7,0,61,0
2531,2003230,Sales & Marketing,Bachelor's,m,2,34,3,8,0,49,0
2532,2003231,Sales & Marketing,Master's & above,f,1,50,5,6,0,52,0
2533,2003232,Sales & Marketing,Bachelor's,m,2,28,3,5,0,54,0
2534,2003233,Procurement,Bachelor's,m,4,27,4,4,1,73,0
2535,2003234,Sales & Marketing,Master's & above,m,1,35,4,8,0,50,0
2536,2003235,Operations,Bachelor's,m,1,49,3,2,1,60,0
2537,2003236,Sales & Marketing,Bachelor's,f,1,33,2,5,0,55,0
2538,2003237,Technology,Bachelor's,f,1,26,5,3,1,79,1
2541,2003238,Technology,Bachelor's,m,1,28,3,3,0,81,0
2542,2003239,Analytics,Bachelor's,m,2,32,5,6,1,82,0
2543,2003240,Procurement,Bachelor's,m,1,41,4,12,0,70,0
2544,2003241,Technology,Master's & above,m,2,37,2,8,0,82,0
2545,2003242,Procurement,Master's & above,m,1,36,3,8,0,71,0
2546,2003243,Procurement,Bachelor's,m,1,26,3,2,0,69,0
2547,2003244,Sales & Marketing,Bachelor's,f,2,31,1,4,0,51,0
2548,2003245,Procurement,Master's & above,f,1,38,3,10,1,63,0
2549,2003246,Operations,Bachelor's,f,1,31,4,2,0,62,0
2550,2003247,Procurement,Bachelor's,m,1,31,5,4,1,72,0
2551,2003248,Analytics,Bachelor's,m,2,30,3,5,0,89,0
2553,2003249,Procurement,Master's & above,m,2,34,3,8,0,70,0
2554,2003250,Sales & Marketing,Bachelor's,m,1,27,2,2,0,47,0
2555,2003251,Procurement,Bachelor's,m,4,30,2,2,0,68,0
2556,2003252,Sales & Marketing,Bachelor's,m,1,34,4,3,1,46,0
2557,2003253,Legal,Master's & above,m,1,44,5,4,0,62,0
2560,2003254,Operations,Master's & above,f,1,49,3,6,0,60,0
2561,2003255,Technology,Bachelor's,f,1,37,3,8,0,79,0
2562,2003256,Operations,Bachelor's,m,1,45,5,6,1,53,0
2564,2003257,HR,Bachelor's,m,1,47,4,8,1,48,0
2565,2003258,Procurement,Bachelor's,f,1,32,3,7,0,69,0
2566,2003259,Sales & Marketing,Bachelor's,m,1,50,3,17,1,51,0
2567,2003260,Operations,Bachelor's,m,1,34,5,8,0,60,0
2570,2003261,Sales & Marketing,Master's & above,m,1,36,5,9,1,51,0
2572,2003262,Analytics,Master's & above,m,2,30,3,5,0,85,0
2573,2003263,Technology,Bachelor's,m,2,32,3,7,0,81,0
2574,2003264,Operations,Bachelor's,m,3,29,4,4,1,56,1
2576,2003265,HR,Below Secondary,m,1,20,3,2,0,45,0
2577,2003266,Procurement,Bachelor's,m,1,25,5,3,1,70,0
2578,2003267,HR,Bachelor's,f,1,35,4,10,0,49,0
2579,2003268,Operations,Bachelor's,m,1,50,1,18,0,61,0
2580,2003269,Procurement,Master's & above,f,1,41,3,6,0,67,0
2582,2003270,HR,Master's & above,m,1,54,2,23,0,49,0
2583,2003271,Operations,Master's & above,m,2,35,3,7,1,58,0
2584,2003272,Operations,Bachelor's,m,2,38,5,5,1,60,0
2585,2003273,Analytics,Bachelor's,m,1,31,3,9,0,81,0
2586,2003274,Procurement,Bachelor's,f,2,34,4,5,0,68,0
2587,2003275,Procurement,Bachelor's,f,2,26,1,2,0,68,0
2588,2003276,Technology,Bachelor's,f,1,34,4,3,1,79,1
2589,2003277,Sales & Marketing,Bachelor's,m,1,27,3,2,1,96,1
2590,2003278,Sales & Marketing,Bachelor's,f,1,32,4,8,0,63,1
2591,2003279,Procurement,Master's & above,f,1,34,5,5,1,69,0
2593,2003280,Sales & Marketing,Master's & above,m,1,46,3,4,0,55,0
2594,2003281,Operations,Bachelor's,m,1,41,5,13,0,57,0
2595,2003282,Sales & Marketing,Bachelor's,f,1,38,3,4,0,48,0
2598,2003283,Sales & Marketing,Bachelor's,m,1,30,2,4,0,60,1
2600,2003284,Sales & Marketing,Bachelor's,m,1,22,2,2,0,50,0
2601,2003285,Procurement,Bachelor's,f,1,29,5,5,1,71,1
2602,2003286,Procurement,Bachelor's,m,3,29,3,3,0,63,0
2603,2003287,Sales & Marketing,Bachelor's,m,1,41,5,3,1,48,1
2604,2003288,Operations,Bachelor's,m,1,57,3,16,0,61,0
2606,2003289,Procurement,Bachelor's,m,1,30,1,6,0,70,0
2607,2003290,Sales & Marketing,Bachelor's,m,1,51,3,17,0,47,0
2608,2003291,Operations,Bachelor's,m,1,47,4,9,0,60,0
2609,2003292,Technology,Bachelor's,f,1,47,3,4,0,79,0
2610,2003293,Sales & Marketing,Master's & above,m,1,48,1,17,0,48,0
2611,2003294,Operations,Bachelor's,f,1,27,1,4,0,57,0
2613,2003295,HR,Bachelor's,f,1,31,2,6,0,49,0
2615,2003296,Technology,Master's & above,f,1,34,3,3,1,80,0
2616,2003297,Sales & Marketing,Bachelor's,m,1,31,3,6,1,44,1
2618,2003298,Sales & Marketing,Bachelor's,f,1,32,3,4,0,49,0
2620,2003299,Analytics,Bachelor's,m,1,30,3,5,0,84,0
2621,2003300,Sales & Marketing,Master's & above,m,3,39,3,9,0,53,0
2622,2003301,Analytics,Bachelor's,m,1,31,3,4,0,87,0
2623,2003302,Sales & Marketing,Master's & above,m,1,44,5,3,0,43,0
2624,2003303,Technology,Master's & above,m,1,48,3,18,0,80,0
2625,2003304,HR,Master's & above,f,1,53,3,18,1,46,0
2626,2003305,Finance,Bachelor's,m,1,30,4,4,1,62,0
2627,2003306,Technology,Bachelor's,m,1,38,1,12,0,81,0
2628,2003307,Analytics,Bachelor's,m,1,33,3,5,0,89,0
2629,2003308,Sales & Marketing,Master's & above,m,1,49,5,7,0,49,0
2630,2003309,HR,Master's & above,f,1,42,2,5,0,47,0
2631,2003310,Sales & Marketing,Bachelor's,m,1,35,1,3,1,46,0
2632,2003311,HR,Master's & above,f,1,41,3,4,0,50,0
2633,2003312,HR,Bachelor's,m,1,43,3,2,0,45,0
2634,2003313,Sales & Marketing,Bachelor's,m,1,30,5,6,1,44,0
2635,2003314,Technology,Bachelor's,m,1,30,1,4,0,81,0
2636,2003315,Procurement,Bachelor's,f,1,30,3,3,0,71,0
2637,2003316,Procurement,Bachelor's,m,1,30,1,4,0,85,1
2638,2003317,Sales & Marketing,Bachelor's,m,1,38,5,3,0,63,1
2639,2003318,Analytics,Bachelor's,m,1,27,4,3,1,83,0
2640,2003319,R&D,Bachelor's,f,1,32,4,3,1,85,0
2641,2003320,Sales & Marketing,Master's & above,m,1,38,5,10,0,42,0
2642,2003321,Sales & Marketing,Bachelor's,m,1,35,4,10,0,47,0
2643,2003322,Procurement,Bachelor's,m,2,31,4,6,0,74,0
2644,2003323,Operations,Master's & above,m,1,37,3,6,1,61,0
2646,2003324,Sales & Marketing,Bachelor's,m,1,45,5,5,0,48,0
2647,2003325,HR,Master's & above,m,1,34,3,4,0,48,0
2649,2003326,Procurement,Master's & above,m,1,57,2,27,0,74,0
2650,2003327,Procurement,Master's & above,f,1,33,3,3,1,74,0
2651,2003328,Procurement,Bachelor's,m,1,48,5,7,1,75,0
2652,2003329,Analytics,Master's & above,f,1,32,4,4,0,82,0
2653,2003330,Analytics,Bachelor's,m,1,30,4,3,0,83,0
2654,2003331,Analytics,Master's & above,m,1,33,5,2,1,82,0
2655,2003332,Procurement,Master's & above,m,2,46,4,5,1,70,0
2656,2003333,HR,Bachelor's,f,1,27,5,4,0,49,0
2657,2003334,Operations,Bachelor's,f,1,55,3,13,0,52,0
2658,2003335,Analytics,Master's & above,m,1,38,4,10,0,80,0
2659,2003336,Sales & Marketing,Bachelor's,m,3,26,1,4,0,52,0
2660,2003337,Operations,Bachelor's,m,2,36,5,6,1,56,0
2661,2003338,Technology,Bachelor's,f,1,34,1,7,0,80,0
2662,2003339,Operations,Master's & above,f,2,38,3,12,1,87,1
2663,2003340,Operations,Bachelor's,m,1,31,5,3,0,58,0
2664,2003341,Procurement,Bachelor's,m,1,40,4,9,1,69,0
2665,2003342,Procurement,Bachelor's,f,1,32,3,5,1,65,0
2666,2003343,Operations,Master's & above,f,1,35,5,8,1,60,1
2667,2003344,Technology,Bachelor's,m,2,29,3,4,0,82,0
2668,2003345,Procurement,Master's & above,f,1,38,5,7,1,65,0
2669,2003346,HR,Bachelor's,f,1,44,5,12,1,49,0
2670,2003347,Operations,Bachelor's,f,1,41,3,11,0,60,0
2671,2003348,Sales & Marketing,Master's & above,f,1,42,4,8,0,50,0
2672,2003349,Sales & Marketing,Bachelor's,f,1,33,3,5,0,51,0
2673,2003350,Procurement,Bachelor's,m,1,40,4,17,0,70,0
2674,2003351,Technology,Bachelor's,m,1,26,3,2,0,80,0
2675,2003352,Sales & Marketing,Bachelor's,f,1,36,3,3,0,46,0
2676,2003353,Operations,Bachelor's,m,1,25,4,2,0,56,0
2677,2003354,Operations,Bachelor's,m,1,35,3,2,0,60,0
2678,2003355,Procurement,Master's & above,f,1,37,4,4,1,67,0
2679,2003356,Analytics,Bachelor's,f,1,31,4,7,0,85,0
2680,2003357,Technology,Bachelor's,m,1,33,2,6,0,79,0
2681,2003358,Procurement,Master's & above,f,2,45,2,15,0,70,0
2682,2003359,Sales & Marketing,Master's & above,f,1,56,2,5,0,46,0
2683,2003360,Analytics,Master's & above,m,2,36,3,6,1,84,0
2684,2003361,Procurement,Master's & above,f,1,50,3,7,1,71,0
2685,2003362,Sales & Marketing,Bachelor's,f,1,27,3,1,0,51,0
2686,2003363,Procurement,Bachelor's,f,1,34,4,10,1,68,0
2687,2003364,Sales & Marketing,Bachelor's,m,3,28,3,4,0,51,0
2688,2003365,Procurement,Bachelor's,m,2,37,3,10,0,72,0
2689,2003366,Procurement,Bachelor's,m,4,29,1,6,0,72,0
2690,2003367,Operations,Bachelor's,m,1,45,3,5,0,58,0
2691,2003368,Operations,Master's & above,m,1,35,3,3,1,61,0
2692,2003369,Technology,Master's & above,f,1,34,3,8,0,84,0
2693,2003370,Operations,Bachelor's,m,1,32,5,7,1,58,1
2694,2003371,Technology,Master's & above,f,1,36,4,3,0,79,0
2695,2003372,Technology,Bachelor's,m,2,31,4,5,1,79,0
2696,2003373,Operations,Master's & above,m,1,34,1,3,0,60,0
2697,2003374,Sales & Marketing,Master's & above,m,1,35,4,6,0,50,0
2698,2003375,HR,Master's & above,f,1,33,5,8,0,51,0
2699,2003376,Sales & Marketing,Bachelor's,m,1,35,4,7,1,50,0
2700,2003377,HR,Bachelor's,f,1,48,5,12,0,48,0
2702,2003378,R&D,Bachelor's,m,2,26,5,3,0,86,0
2703,2003379,R&D,Master's & above,m,1,46,5,2,1,89,0
2704,2003380,Procurement,Bachelor's,f,2,28,3,4,0,71,0
2705,2003381,Sales & Marketing,Bachelor's,m,1,33,4,7,0,46,0
2706,2003382,Technology,Bachelor's,f,1,27,4,2,1,76,0
2708,2003383,Finance,Bachelor's,f,1,32,3,7,0,56,0
2710,2003384,Procurement,Bachelor's,f,1,29,4,3,1,71,0
2711,2003385,Operations,Master's & above,m,1,34,3,5,0,55,0
2712,2003386,Sales & Marketing,Bachelor's,m,2,29,3,7,0,46,0
2713,2003387,Sales & Marketing,Bachelor's,m,1,33,5,8,1,51,0
2714,2003388,Sales & Marketing,Bachelor's,m,1,27,5,1,1,48,0
2715,2003389,Technology,Bachelor's,m,1,29,3,2,0,81,0
2716,2003390,Finance,Bachelor's,f,1,37,3,8,0,60,0
2717,2003391,Operations,Bachelor's,f,1,39,5,8,1,57,1
2718,2003392,Sales & Marketing,Bachelor's,m,1,57,2,25,0,54,0
2719,2003393,Sales & Marketing,Bachelor's,m,1,30,4,5,1,65,1
2720,2003394,Sales & Marketing,Master's & above,m,2,32,3,10,0,50,0
2721,2003395,Operations,Bachelor's,m,2,32,1,3,0,60,0
2722,2003396,Procurement,Master's & above,m,1,42,3,13,0,67,0
2723,2003397,HR,Bachelor's,f,1,28,1,2,0,48,0
2724,2003398,Sales & Marketing,Master's & above,m,1,36,4,3,1,65,1
2725,2003399,Sales & Marketing,Master's & above,m,1,44,3,7,1,53,0
2726,2003400,Sales & Marketing,Master's & above,m,1,41,3,11,1,51,0
2727,2003401,Operations,Master's & above,m,1,53,3,5,0,64,0
2729,2003402,Sales & Marketing,Bachelor's,m,1,32,2,8,1,48,0
2730,2003403,Operations,Master's & above,m,1,33,3,7,1,56,0
2731,2003404,Sales & Marketing,Bachelor's,m,2,33,4,7,0,46,0
